Year Day    Superior   Michigan   Huron    Erie    Ontario  St.Clr  
2007 001    3.95    4.85    4.33    5.09    5.72    4.17
2007 002    3.92    4.90    4.36    5.13    5.74    4.10
2007 003    3.90    4.94    4.36    5.13    5.79    4.00
2007 004    3.98    4.93    4.44    5.11    5.77    3.86
2007 005    3.97    4.87    4.44    5.08    5.73    3.91
2007 006    3.94    4.78    4.44    5.00    5.66    4.07
2007 007    3.90    4.73    4.44    4.94    5.57    4.15
2007 008    3.97    4.72    4.54    4.88    5.48    4.09
2007 009    3.77    4.62    4.25    4.78    5.21    3.98
2007 010    3.67    4.57    4.21    4.66    5.11    3.88
2007 011    3.57    4.53    4.16    4.55    5.03    3.79
2007 012    3.34    4.33    4.09    4.42    4.98    3.70
2007 013    3.06    4.21    3.94    4.19    4.78    3.43
2007 014    3.02    4.05    3.74    3.91    4.64    3.14
2007 015    2.99    3.96    3.59    3.67    4.41    2.79
2007 016    2.85    3.72    3.09    3.52    3.87    0.20
2007 017    2.86    3.68    3.05    3.41    3.80    0.20
2007 018    2.84    3.67    2.98    3.35    3.78    0.20
2007 019    2.06    1.88    1.75    2.40    3.06    0.20
2007 020    2.04    1.87    1.72    2.35    3.02    0.20
2007 021    2.03    1.84    1.68    2.26    2.99    0.20
2007 022    2.03    1.82    1.66    2.19    3.01    0.20
2007 023    2.01    1.78    1.60    2.07    2.98    0.20
2007 024    1.99    1.75    1.59    1.98    2.97    0.20
2007 025    2.30    2.81    2.13    1.96    3.22    0.20
2007 026    2.18    2.56    1.94    1.47    3.02    0.20
2007 027    2.15    2.51    1.89    1.40    2.98    0.20
2007 028    2.10    2.42    1.82    1.31    2.92    0.20
2007 029    1.96    2.25    1.74    1.28    2.89    0.20
2007 030    1.86    2.04    1.67    0.64    2.55    0.20
2007 031    1.83    2.00    1.57    0.63    2.53    0.20
2007 032    1.86    2.06    1.55    0.62    2.54    0.20
2007 033    1.63    1.77    1.32    0.20    2.44    0.20
2007 034    1.57    1.73    1.21    0.20    2.42    0.20
2007 035    1.52    1.69    1.16    0.20    2.37    0.20
2007 036    1.49    1.64    1.13    0.20    2.25    0.20
2007 037    1.21    1.46    0.97    0.20    2.18    0.20
2007 038    1.09    1.45    0.89    0.20    2.14    0.20
2007 039    1.07    1.47    0.91    0.20    2.11    0.20
2007 040    0.86    1.01    0.66    0.20    1.62    0.20
2007 041    0.85    0.99    0.66    0.20    1.58    0.20
2007 042    0.84    0.99    0.65    0.20    1.54    0.20
2007 043    0.82    0.98    0.62    0.20    1.37    0.20
2007 044    0.60    0.82    0.34    0.20    1.28    0.20
2007 045    0.58    0.80    0.33    0.20    1.24    0.20
2007 046    0.57    0.88    0.39    0.20    1.40    0.20
2007 047    0.56    0.84    0.30    0.20    1.05    0.20
2007 048    0.56    0.85    0.30    0.20    1.06    0.20
2007 049    0.55    0.86    0.30    0.20    1.05    0.20
2007 050    0.55    0.86    0.30    0.20    1.05    0.20
2007 051    0.65    1.10    0.42    0.20    1.09    0.20
2007 052    0.65    1.10    0.42    0.20    1.11    0.20
2007 053    0.74    1.29    0.53    0.20    1.79    0.20
2007 054    0.59    1.05    0.34    0.20    1.10    0.20
2007 055    0.60    1.05    0.34    0.20    1.07    0.20
2007 056    0.61    1.04    0.35    0.20    1.07    0.20
2007 057    0.61    1.03    0.35    0.20    1.08    0.20
2007 058    0.57    0.97    0.40    0.20    1.01    0.20
2007 059    0.56    0.97    0.40    0.20    1.01    0.20
2007 060    0.59    1.03    0.44    0.20    1.41    0.20
2007 061    0.41    0.64    0.36    0.20    0.64    0.20
2007 062    0.39    0.64    0.36    0.20    0.63    0.20
2007 063    0.39    0.65    0.36    0.20    0.62    0.20
2007 064    0.40    0.65    0.36    0.20    0.61    0.20
2007 065    0.46    0.65    0.25    0.20    0.64    0.20
2007 066    0.46    0.64    0.26    0.20    0.64    0.20
2007 067    0.55    0.68    0.25    0.20    1.13    0.20
2007 068    0.53    0.70    0.25    0.20    1.06    0.20
2007 069    0.54    0.71    0.25    0.20    1.08    0.20
2007 070    0.54    0.71    0.25    0.20    1.09    0.20
2007 071    0.56    0.75    0.25    0.20    1.07    0.20
2007 072    0.73    1.32    0.43    0.20    1.31    0.20
2007 073    0.70    1.27    0.42    0.20    1.29    0.20
2007 074    0.72    1.73    0.43    0.20    1.78    0.20
2007 075    0.65    1.61    0.35    0.20    1.63    0.20
2007 076    0.64    1.60    0.35    0.20    1.60    0.20
2007 077    0.65    1.65    0.35    0.20    1.59    0.20
2007 078    0.67    1.76    0.35    0.20    1.61    0.20
2007 079    0.64    1.87    0.39    0.20    1.64    0.20
2007 080    0.68    1.99    0.40    0.20    1.67    0.20
2007 081    0.81    2.27    0.56    0.54    1.98    0.20
2007 082    0.86    2.38    0.57    0.54    2.00    0.20
2007 083    0.92    2.70    0.57    0.64    2.01    0.20
2007 084    0.96    3.24    0.63    0.72    2.10    0.20
2007 085    0.95    3.45    0.70    0.78    2.22    0.20
2007 086    1.19    3.34    0.79    1.32    2.26    0.20
2007 087    1.18    3.01    0.76    1.24    2.23    0.20
2007 088    1.25    2.75    0.98    1.73    2.29    4.98
2007 089    1.22    2.66    0.84    1.73    2.27    5.13
2007 090    1.21    2.69    0.84    1.88    2.26    5.57
2007 091    1.19    2.70    0.84    2.06    2.25    5.89
2007 092    1.17    2.68    0.84    2.06    2.18    6.15
2007 093    1.08    2.57    0.75    2.12    2.20    6.06
2007 094    1.04    2.47    0.72    2.06    2.22    5.63
2007 095    1.05    2.32    1.03    2.66    2.36    5.20
2007 096    1.04    2.24    0.95    2.38    2.34    4.71
2007 097    1.03    2.26    0.93    2.25    2.35    4.43
2007 098    1.02    2.25    0.92    2.15    2.36    4.23
2007 099    1.02    2.22    0.89    2.06    2.37    4.03
2007 100    1.29    2.31    1.14    2.05    2.44    3.92
2007 101    1.34    2.43    1.20    2.11    2.51    3.97
2007 102    1.40    2.45    1.38    2.76    2.74    4.21
2007 103    1.41    2.47    1.38    2.85    2.90    4.26
2007 104    1.47    2.50    1.41    2.91    2.97    4.29
2007 105    1.54    2.58    1.50    3.08    3.03    4.43
2007 106    1.57    2.66    1.60    3.23    3.06    4.52
2007 107    1.83    3.03    1.83    3.52    3.18    4.81
2007 108    1.87    3.16    1.96    3.69    3.17    5.19
2007 109    2.02    3.41    2.16    3.88    3.22    5.76
2007 110    2.05    3.53    2.16    4.11    3.30    6.30
2007 111    2.05    3.61    2.24    4.55    3.35    7.01
2007 112    2.12    3.81    2.36    4.97    3.46    7.41
2007 113    2.13    3.84    2.51    5.16    3.50    7.62
2007 114    2.04    3.78    2.47    5.18    3.37    8.08
2007 115    2.04    3.87    2.56    5.29    3.39    8.47
2007 116    2.20    4.02    2.76    5.48    3.54    9.25
2007 117    2.29    4.12    2.85    5.67    3.71    9.95
2007 118    2.35    4.20    2.92    5.80    3.84   10.31
2007 119    2.43    4.34    3.00    5.94    3.97   10.65
2007 120    2.44    4.44    3.34    6.29    3.98   11.04
2007 121    2.51    4.50    3.41    6.55    4.10   11.34
2007 122    2.57    4.56    3.44    6.75    4.25   11.52
2007 123    2.72    4.69    3.62    6.91    4.30   11.61
2007 124    2.83    4.80    3.76    7.03    4.39   11.72
2007 125    2.88    4.86    3.81    7.21    4.56   11.73
2007 126    2.94    4.89    3.81    7.44    4.72   11.79
2007 127    3.16    5.02    4.04    7.93    4.86   12.11
2007 128    3.36    5.29    4.35    8.61    5.16   12.77
2007 129    3.42    5.66    4.64    9.07    5.38   13.32
2007 130    3.60    5.75    4.90    9.42    5.69   13.72
2007 131    3.52    5.73    4.96    9.74    5.89   13.67
2007 132    3.37    5.69    4.82    9.68    5.80   13.47
2007 133    3.31    5.68    4.81    9.60    5.77   13.41
2007 134    3.47    5.78    4.96    9.70    5.90   13.35
2007 135    3.46    5.88    5.16    9.98    6.13   13.18
2007 136    3.32    5.93    5.28   10.04    6.23   12.98
2007 137    3.26    6.00    5.29   10.02    6.16   12.74
2007 138    3.27    6.10    5.34   10.10    6.22   12.68
